"Start (ns)","End (ns)","Duration (ns)","Name"
"0","10000000","10000000","decode num_decode_seqs=16"
"10000000","20000000","10000000","decode num_decode_seqs=16"
"20000000","30000000","10000000","decode num_decode_seqs=16"
"30000000","40000000","10000000","decode num_decode_seqs=16"
"40000000","160000000","120000000","prefill prefill_tokens=8192"
"160000000","170000000","10000000","decode num_decode_seqs=16"
"170000000","180000000","10000000","decode num_decode_seqs=16"
"180000000","190000000","10000000","decode num_decode_seqs=16"
"190000000","200000000","10000000","decode num_decode_seqs=16"
"200000000","320000000","120000000","prefill prefill_tokens=8192"
"320000000","330000000","10000000","decode num_decode_seqs=16"
"330000000","340000000","10000000","decode num_decode_seqs=16"
"340000000","350000000","10000000","decode num_decode_seqs=16"
"350000000","360000000","10000000","decode num_decode_seqs=16"
"360000000","480000000","120000000","prefill prefill_tokens=8192"
"480000000","490000000","10000000","decode num_decode_seqs=16"
"490000000","500000000","10000000","decode num_decode_seqs=16"
"500000000","510000000","10000000","decode num_decode_seqs=16"
"510000000","520000000","10000000","decode num_decode_seqs=16"
"520000000","640000000","120000000","prefill prefill_tokens=8192"
"640000000","650000000","10000000","decode num_decode_seqs=16"
"650000000","660000000","10000000","decode num_decode_seqs=16"
"660000000","670000000","10000000","decode num_decode_seqs=16"
"670000000","680000000","10000000","decode num_decode_seqs=16"
"680000000","800000000","120000000","prefill prefill_tokens=8192"
"800000000","810000000","10000000","decode num_decode_seqs=16"
"810000000","820000000","10000000","decode num_decode_seqs=16"
"820000000","830000000","10000000","decode num_decode_seqs=16"
"830000000","840000000","10000000","decode num_decode_seqs=16"
"840000000","960000000","120000000","prefill prefill_tokens=8192"
"960000000","970000000","10000000","decode num_decode_seqs=16"
"970000000","980000000","10000000","decode num_decode_seqs=16"
"980000000","990000000","10000000","decode num_decode_seqs=16"
"990000000","1000000000","10000000","decode num_decode_seqs=16"
"1000000000","1120000000","120000000","prefill prefill_tokens=8192"
"1120000000","1130000000","10000000","decode num_decode_seqs=16"
"1130000000","1140000000","10000000","decode num_decode_seqs=16"
"1140000000","1150000000","10000000","decode num_decode_seqs=16"
"1150000000","1160000000","10000000","decode num_decode_seqs=16"
"1160000000","1280000000","120000000","prefill prefill_tokens=8192"
